StName,Instances,Lat,Long
keswick,1402,54.60160037,-3.125370693
ambleside,885,54.43199742,-2.959272921
windermere,866,54.37599547,-2.907933804
derwent water,688,54.58308385,-3.152850782
skiddaw,681,54.65511833,-3.139386683
penrith,667,54.66713013,-2.752052798
borrowdale,649,54.52342,-3.15327
kendal,545,54.325616,-2.745809
grasmere,539,54.45838873,-3.025919467
helvellyn,494,54.53041127,-3.012269722
buttermere,477,54.54589907,-3.27549184
ullswater,458,54.57654,-2.858689
coniston,447,54.36868891,-3.071790053
lancaster,435,54.04660668,-2.801902526
patterdale,408,54.53103319,-2.93500911
bowness-on-windermere,399,54.36040071,-2.915738676
carlisle,365,54.89435005,-2.923743725
furness,344,54.16971191,-3.14132584
great langdale,296,54.43856756,-3.068304143
lodore falls,248,54.55627197,-3.136629337
duddon valley,240,54.37016091,-3.193494016
rydal,230,54.449786,-2.979430499
langdale pikes,226,54.45756763,-3.118464888
seathwaite,216,54.35366593,-3.187330149
saddleback,208,54.64151,-3.05017
whitehaven,193,54.54261524,-3.574638672
crummock water,190,54.55455473,-3.306691237
ennderdale,187,54.519,-3.3736
ulverston,183,54.19093311,-3.081393271
old man of coniston,175,54.37042,-3.12208
ulverstone,175,54.19093311,-3.081393271
bassenthwaite,171,54.65,-3.2167
cockermouth,163,54.66186839,-3.356649936
wyburn,159,54.5078,-3.0486
st. john,148,54.543234,-3.060647
coniston water,145,54.34116197,-3.06915008
troutbeck,144,54.4143226,-2.916940042
lowther,143,54.60426563,-2.714587092
wast water,140,54.43790671,-3.287554582
cartmel,135,54.19883752,-2.946673257
newlands,133,54.57418108,-3.185804701
pooley bridge,132,54.61151285,-2.817815868
great gable,130,54.48224887,-3.21929208
scafell,127,54.45583,-3.21333
river leven,123,54.25573038,-2.989724572
rydal water,118,54.4472,-2.999
furness abbey,116,54.13316968,-3.201549007
newby bridge,116,54.26698463,-2.964956949
hawkshead,115,54.37776609,-2.993112823
river lune,111,54.21368668,-2.672622914
thirlmere,111,54.5348667,-3.058713394
gowbarrow park,110,54.58507196,-2.920770635
esthwaite water,106,54.35991804,-2.977291334
hawes water,103,54.50508236,-2.812262962
waterhead,102,54.42294965,-2.963375972
helm crag,100,54.47622986,-3.041800544
loweswater,100,54.58072,-3.35289
rosthwaite,99,54.52018137,-3.151078131
eskdale green,96,54.38973822,-3.323474574
shap,96,54.53277861,-2.672303263
broughton-in-furness,95,54.278,-3.211
fairfield,95,54.49726,-2.99223
egremont,92,54.4823578,-3.53167205
scale hill,92,54.5815113,-3.307553775
bowder stone,89,54.53815358,-3.151583905
pillar,88,54.49917,-3.2825
brougham castle,87,54.64934461,-2.720724891
kirkstone beck,87,54.4638,-2.9256
low wood,87,54.24386305,-3.000560624
solway firth,85,54.74010235,-3.576762629
high street,82,54.48333,-2.85
lyulph's tower,82,54.5761,-2.9206
river eden,82,54.70344736,-2.690643106
wasdale,81,54.4251,-3.3488
dalton-in-furness,80,54.16043112,-3.171704505
dunmail raise,80,54.49420286,-3.042257566
place fell,80,54.54013841,-2.919758695
ulpha,79,54.33055836,-3.238057281
wasdale head,79,54.46518898,-3.257549282
calder bridge,78,54.4408392,-3.477074728
walna scar,78,54.35288871,-3.158219402
threlkeld,77,54.61987758,-3.060956396
castle crag (fort),75,54.5337,-3.1626
cross fell,75,54.70442894,-2.488892045
bampton,74,54.55671187,-2.749891944
watendlath,74,54.53844388,-3.120675552
wrynose pass,74,54.41263588,-3.117241463
ingleborough (fort),73,54.166,-2.398
st bees,73,54.48833782,-3.58249785
derwentwater,71,54.584,-3.14956
lorton,71,54.62013155,-3.304525444
loughrigg,71,54.44054541,-3.010052273
dunmallard hill,70,54.6137,-2.8253
workington,70,54.62740112,-3.551571779
loughrigg fell,68,54.44054541,-3.010052273
honister crag,67,54.51702496,-3.219864602
scale force,67,54.54556918,-3.306404042
little langdale,66,54.42093505,-3.051865816
river brathay,66,54.42185889,-3.038327935
rydal hall,65,54.4483,-2.98
sca fell,63,54.45583,-3.21333
martindale,62,54.5424,-2.8859
river esk,62,54.39405258,-3.300097165
rydal mount,62,54.449786,-2.979430499
gatesgarth,61,54.17414527,-2.972595287
wigton,61,54.82570123,-3.159752716
silverdale,60,54.16814673,-2.820874447
basenthwaite,59,54.65,-3.2167
ravenglass,59,54.35566085,-3.408100874
black combe,58,54.26667557,-3.328281786
kentmere,58,54.43039474,-2.834354797
kirby lonsdale,57,54.2166,-2.616
red pike,57,54.48283546,-3.28896579
aira force,56,54.57596662,-2.936037483
grisedale beck,56,54.51965869,-2.969220794
screes,56,54.4288759,-3.304031816
seatoller,53,54.51104727,-3.166269248
milnthorpe,52,54.2267,-2.7746
coniston fells,51,54.3116,-3.3297
latrigg,51,54.61033293,-3.122649812
yewbarrow,51,54.46502748,-3.272975138
belle isle,50,54.36028298,-2.93112701
great end,50,54.46581531,-3.19584436
hawkshead hill,50,54.3775089,-3.023901654
strands,50,54.42378925,-3.357817477
wallow crag,50,54.532129,-2.780479631
lord's island,49,54.58323024,-3.137379682
lowther castle,49,54.60431624,-2.735411895
grasmere water,48,54.45,-3.0216
crow park,47,54.5972,-3.1415
blea tarn,46,54.52075371,-3.089288019
clappersgate,46,54.42251395,-2.977323761
morecambe bay,46,54.11726758,-2.971573846
scafell pike,46,54.45667567,-3.211005455
bassenthwaite lake,45,54.65436466,-3.216877183
dalemain,44,54.63078196,-2.813352976
dungeon ghyll force,43,54.44872303,-3.102799399
leathes water,43,54.5333,-3.0667
dacre,42,54.63056993,-2.844334184
eamont bridge,42,54.64925141,-2.736222945
stybarrow crag,42,54.54888609,-2.950879266
appleby-in-westmorland,41,54.57860495,-2.487384668
arnside,41,54.199188,-2.835516
glaramara,41,54.48408895,-3.165501893
hill bell,41,54.4619,-2.8708
seat sandal,41,54.49446509,-3.011381277
striding edge,41,54.53041127,-3.012269722
brougham cp,40,54.64677376,-2.670439373
mardale,40,54.49787278,-2.815208049
sty head,40,54.47480136,-3.196106482
castle head,39,54.59483374,-3.129632794
castlerigg,39,54.59250322,-3.106680651
conishead priory,39,54.17041334,-3.064741936
great crosthwaite,39,54.61018838,-3.138131269
portinscale,39,54.60035046,-3.160383347
skelwith bridge,39,54.42257207,-3.009610245
askham,38,54.60602399,-2.755091358
stock gill force,38,54.4328,-2.9511
eagle crag,37,54.50249902,-3.119691682
saddleback/blencathra,37,54.63798482,-3.045931938
scarf,37,54.58789025,-3.131158332
ennerdale bridge,36,54.53063642,-3.43736363
grasmoor,36,54.57285601,-3.276333517
high yewdale,36,54.38635905,-3.056296358
orrest head,36,54.38747759,-2.900940338
causey pike,35,54.57349273,-3.214466501
cockley beck,35,54.4028,-3.1596
harter fell,35,54.38478705,-3.208887855
swinside,35,54.58293549,-3.168321742
wetherlam,35,54.40379098,-3.101593501
coniston hall,34,54.35783,-3.07188
easdale,34,54.4656,-3.0414
elleray,34,54.37849057,-2.900743528
elterwater,34,54.43129712,-3.040660185
glenridding,34,54.54888609,-2.950879266
armathwaite,33,54.80675554,-2.76942593
loughrigg tarn,33,54.43072632,-3.009409946
torver,33,54.34088551,-3.099910799
barrow house,32,54.56999747,-3.132967518
brough,32,54.52390316,-2.317311763
calgarth hall,32,54.38724388,-2.93173728
eamont,32,54.6667,-2.6167
high stile,32,54.5187782,-3.290097556
kirkstone pass,32,54.45,-2.91667
the pillar,32,54.4975,-3.2812
elter water,31,54.43142892,-3.025245753
harrison stickle,31,54.4577094,-3.103040977
ouse bridge,31,54.67757822,-3.242665221
wansfell pike,31,54.43217842,-2.932756636
bow fell,30,54.44814433,-3.164480721
carleton hall,30,54.37363175,-3.408715821
clifton,30,54.6297,-2.7218
ennerdale water,30,54.51775401,-3.382770236
gosforth,30,54.4207713,-3.430727082
mickledore,30,54.45138733,-3.213747436
peel castle,30,54.06234249,-3.173341866
river kent,30,54.30764151,-2.745484043
fox how,29,54.436,-2.9802
kidsty pike,29,54.50464498,-2.857180863
lamplugh,29,54.57130778,-3.415525062
levens,29,54.2705382,-2.788353495
morecambe,29,54.06404841,-2.878643962
river rothay,29,54.46737531,-3.026144286
buttermere hawse,28,54.5521,-3.2959
stonethwaite,28,54.51134123,-3.135381518
styhead pass,28,54.4748,-3.1961
colwith force,27,54.41914884,-3.037259078
gillerthwaite,27,54.58134317,-3.323023232
troutbeck bridge,27,54.39634869,-2.916539147
yew crag,27,54.45812291,-3.056768455
calder abbey,26,54.4447787,-3.472851293
crosthwaite,26,54.31585808,-2.854944961
high crag,26,54.5145,-3.268
longsledale,26,54.4243,-2.7784
lowick bridge,26,54.26913154,-3.082642082
rayrigg hall,26,54.37837473,-2.916138692
styhead tarn,26,54.4775517,-3.203718852
swarth fell,26,54.355294,-2.36701
the langdales,26,54.4469,-3.0642
berkshire island,25,54.3487,-2.9353
coniston water head,25,54.3683,-3.0635
fell foot park,25,54.27928022,-2.944660291
inglewood forest,25,54.74739708,-2.846762939
lake windermere,25,54.373,-2.9344
steel fell,25,54.49406878,-3.057695523
bowfell,24,54.44814433,-3.164480721
honister pass,24,54.51253992,-3.201040464
lancaster castle,24,54.04996,-2.80569
mayburgh earthwork,24,54.64929617,-2.746946718
rydal head,24,54.49471945,-2.9805045
appleby- in-westmorland,23,54.5790608,-2.485598655
braithwaite,23,54.60305898,-3.190390581
carnforth,23,54.12769635,-2.772858748
grisedale pike,23,54.59114975,-3.245948594
hallen fell,23,54.5704,-2.8785
placefell,23,54.5446,-2.9204
river liza,23,54.50101809,-3.284854647
watermillock,23,54.59331694,-2.859266517
aldingham,22,54.13101406,-3.09733591
greystoke castle,22,54.66990341,-2.876952675
haweswater,22,54.5218,-2.8025
hest bank,22,54.09802913,-2.800813565
penny bridge,22,54.24063568,-3.060088511
penruddock,22,54.64083215,-2.885528057
river greta,22,54.14651065,-2.54234429
thornthwaite,22,54.62020548,-3.203698643
birk fell,21,54.55811187,-2.920163136
black sail pass,21,54.49214647,-3.258376655
esk hause,21,54.46596698,-3.180417764
glencoyne,21,54.5597,-2.9533
gowder crag,21,54.55817628,-3.138052024
greta hall,21,54.603823,-3.139015605
high nibthwaite,21,54.29609159,-3.08334927
lingmell gill,21,54.45636261,-3.241851164
long meg and her daughters,21,54.73058136,-2.660043139
mill beck,21,54.4499,-3.0888
newland beck,21,54.22462373,-3.076287447
winderemere (lake),21,54.37296,-2.93438
yanwath and eamont bridge cp,21,54.63722796,-2.743777911
"floating island, derwent water",20,54.5653643,-3.138252233
greystoke,20,54.6699,-2.877
holker hall,20,54.18904029,-2.988583529
millom,20,54.21341953,-3.265224525
nab scar,20,54.44966001,-2.994852044
river cocker,20,54.61981993,-3.338634083
scandale beck,20,54.45709276,-2.961044299
sizergh castle,20,54.2804853,-2.775715664
storrs,20,54.34974599,-2.92204166
tent lodge,20,54.36825723,-3.054459688
whinlatter,20,54.61810679,-3.246772154
castle crag,19,54.53278308,-3.162071998
cat bells,19,54.56496352,-3.16780777
deepdale beck,19,54.25369781,-2.423453432
hornby,19,54.11026012,-2.634930609
humphrey head,19,54.16256593,-2.926682236
lake side,19,54.26667,-2.95
moresby parks,19,54.56023192,-3.551632172
raven crag,19,54.35653381,-3.331179133
red bank,19,54.44328602,-3.020752642
stickle tarn,19,54.45845498,-3.100130073
angle tarn,18,54.4572343,-3.167643115
ashness gill,18,54.5629604,-3.118118399
calgarth park,18,54.38830822,-2.928529867
levers water,18,54.38316573,-3.11164649
newlands vale,18,54.5273,-3.2987
ormathwaite,18,54.6191744,-3.138382074
patterdale hall,18,54.53691232,-2.946120141
silver how,18,54.44927026,-3.041115952
swirrel edge,18,54.5296,-3.0167
thirlmeer,18,54.5346,-3.0632
wansfell,18,54.43217842,-2.932756636
whiteside pike,18,54.40839235,-2.754885586
bardsea,17,54.16142643,-3.064511196
dow crag,17,54.38463191,-3.224283831
floutern tarn,17,54.54505953,-3.352771153
hartsop,17,54.51040155,-2.9125101
haycock,17,54.486747,-3.32908
heversham,17,54.24611956,-2.77115894
highstreet,17,54.4921,-2.8645
maryport,17,54.71199351,-3.490450386
mellbreak,17,54.56337225,-3.322441248
river keer,17,54.1552144,-2.681484176
shap fells,17,54.46969188,-2.702131921
wishing gate,17,54.4496,-3.0144
wythburn water,17,54.5281,-3.2595
wythop mill,17,54.65372604,-3.278866924
dacre castle,16,54.63056,-2.83754
dovedale beck,16,54.49398583,-2.948293787
high fog close,16,54.4387802,-3.02218238
high rigg,16,54.5821,-3.0737
nag's head,16,54.76790956,-2.318664919
saint john,16,54.543234,-3.060647
walla crag,16,54.58337464,-3.121908444
warton crag,16,54.1547,-2.7734
"wyke, the, grasmere",16,54.44976167,-3.030784247
caldbeck,15,54.74581894,-3.048709098
castle rock,15,54.567,-3.0517
derwent isle,15,54.5922163,-3.137630072
easedale tarn,15,54.46697348,-3.072427713
gleaston castle,15,54.13390909,-3.12503408
hardknot,15,54.4028,-3.1854
holker,15,54.1828527,-2.977954191
winster,15,54.33423674,-2.896315913
applethwaite,14,54.62029924,-3.138227966
armboth fell,14,54.52974001,-3.089527271
brackenthwaite,14,54.80830836,-3.097010005
cockshut hill,14,54.5932,-3.139
colwith bridge,14,54.4191,-3.0373
coniston old man,14,54.3704,-3.1221
"hallsteads, matterdale",14,54.58232336,-2.870892616
holme st cuthbert,14,54.81426162,-3.39288035
keskadale beck,14,54.55346021,-3.219115518
little langdale tarn,14,54.41916885,-3.06570795
pendragon castle,14,54.4173484,-2.331351716
red tarn,14,54.42147871,-3.132896161
river crake,14,54.27811824,-3.082877682
seathwaite chapel,14,54.35484638,-3.187972142
skelwith force,14,54.42257207,-3.009610245
whitbarrow village,14,54.64797836,-2.922192051
witherslack,14,54.25289547,-2.867302621
birker force,13,54.38431575,-3.255075339
black comb,13,54.2578,-3.3293
bowfell links,13,54.44814433,-3.164480721
bowness,13,54.36331,-2.91859
brathay bridge,13,54.42252298,-2.977544039
brownrigg well,13,54.53028096,-3.027721485
crook,13,54.42824823,-3.348920062
dale head,13,54.52871736,-3.197682249
falcon crag,13,54.57438852,-3.121661593
flookburgh,13,54.17397136,-2.969609334
goldrill beck,13,54.54100646,-2.939722956
grisdale beck,13,54.51965869,-2.969220794
grisedale tarn,13,54.50345166,-3.011603205
high cross,13,54.2782,-3.1586
lampleugh cross,13,54.5659,-3.4306
lowther bridge,13,54.64664794,-2.73914976
penrith beacon,13,54.67519654,-2.744010531
rothay bridge,13,54.4265,-2.9693
saint sunday's beck,13,54.30199952,-2.688333025
sizer castle,13,54.284,-2.7715
sprinkling tarn,13,54.47480136,-3.196106482
thrang crag wood,13,54.31392582,-3.099191618
warton,13,54.14386784,-2.769127316
barton hall,12,54.62189904,-2.814589103
brough castle,12,54.521293,-2.324295
bull crag,12,54.48452651,-3.119200559
castlehead wood,12,54.594109,-3.131018
conishead,12,54.173,-3.0677
corby castle,12,54.88240875,-2.818413258
croglin,12,54.82045093,-2.661507847
crossfell,12,54.70442894,-2.488892045
crow holm,12,54.3541,-2.9401
dent,12,54.27775,-2.45476
embleton,12,54.66455927,-3.283308584
ennerdale and kinniside cp,12,54.50558663,-3.352273809
hayeswater,12,54.50101241,-2.880125906
lancaster and fleetwood co const,12,54.0044328,-2.766793559
low leathes,12,54.73374954,-3.35905076
mosedale beck,12,54.460859,-3.266121
muncaster,12,54.35736,-3.380332
"nab, the",12,54.5314952,-2.873198572
newton,12,54.13579986,-3.180009512
papcastle,12,54.67050233,-3.38795545
pavey ark,12,54.46669575,-3.103282688
"peel wyke, wythop",12,54.66595069,-3.237193528
ponsonby,12,54.43598052,-3.457115297
robinson,12,54.54151323,-3.233424945
steeple,12,54.49333397,-3.302532186
swarthmoor hall,12,54.18633195,-3.102066835
walney,12,54.107,-3.255
wanthwaite crags,12,54.59305334,-3.044780211
whinfell park,12,54.652038,-2.687445
wray castle,12,54.39598916,-2.962744151
wythop woods,12,54.65,-3.2299
birkrigg,11,54.165247,-3.110039
brampton beck,11,54.60720765,-2.493146323
brothers water,11,54.50419131,-2.918951147
cartmel fell,11,54.28519073,-2.894482243
gleaston,11,54.12823332,-3.135938542
goat tarn,11,54.36860324,-3.131263122
high wray,11,54.38945952,-2.964362631
holme beck,11,54.19831096,-2.757452333
holy well,11,54.15345985,-2.941792945
ireby,11,54.73554377,-3.18824244
kirby lonsdale cockpit hill,11,54.20509,-2.59817
knock,11,54.64881252,-2.489679917
levens hall,11,54.26251034,-2.775378175
lingmell,11,54.4628,-3.2213
low fell,11,54.59015844,-3.338787164
"norfolk island, patterdale",11,54.557974,-2.942444
red tarn beck,11,54.53564402,-2.999030868
rydal park,11,54.44728712,-2.971502676
seathwaite bridge,11,54.36118136,-3.183538061
sharp edge,11,54.64697108,-3.046162665
sour milk gill,11,54.50175943,-3.196893715
staveley,11,54.3766,-2.8179
wallabarrow crag,11,54.3599,-3.1987
yewdale crag,11,54.383555,-3.068542713
arthur's round table,10,54.6484,-2.7407
brantwood,10,54.35028393,-3.053999455
broadness,10,54.6565,-3.2067
clifton moor railway station,10,54.62861,-2.71146
dalegarth hall,10,54.3929776,-3.286147248
dove crag,10,54.48585697,-2.96485428
farleton,10,54.10145619,-2.650013216
fellfoot,10,54.38802753,-2.823946123
hartshope,10,54.4953,-2.9033
holme island,10,54.19886023,-2.881501513
how hall fm,10,54.5355469,-3.398829394
kirkfell crags,10,54.49230616,-3.242940504
linthwaite pike,10,54.6401,-3.0499
little mell fell,10,54.61226362,-2.890412638
low lowood,10,54.82898867,-2.739489668
mosses,10,54.57992698,-3.446772951
newfield,10,54.3537,-3.19
penrith castle,10,54.6603,-2.75583
river eamont,10,54.6398719,-2.798038185
rydal fell,10,54.47323305,-2.986005869
sandwicke,10,54.57029757,-2.893219378
scales tarn,10,54.64697108,-3.046162665
shap abbey,10,54.53094863,-2.699970287
stanley gill,10,54.38428065,-3.271820069
stockley bridge,10,54.48393916,-3.180935392
storrs hall,10,54.137408,-2.650576037
wall end,10,54.43985824,-3.103930122
appleby castle,9,54.5724,-2.4888
backbarrow,9,54.25408583,-2.987146227
boot,9,54.4,-3.26667
bootle,9,54.28110884,-3.367536534
burnmoor tarn,9,54.42924547,-3.25644824
chapel island,9,54.17068028,-3.034107479
colwith,9,54.42244228,-3.025021429
crinkle crags,9,54.43930572,-3.148809028
derwent fells,9,54.54668925,-3.198208663
devoke water,9,54.35686926,-3.300409308
dove nest,9,54.41408472,-2.94775696
duddon bridge,9,54.2856276,-3.236709373
egremont castle,9,54.4798,-3.52992
friar's crag,9,54.5922163,-3.137630072
green crag,9,54.37564582,-3.224016424
hampsfell,9,54.20590361,-2.922900359
harrop tarn,9,54.51204164,-3.058159823
hay stacks,9,54.51027785,-3.243486074
high cark,9,54.23434469,-2.943633716
lindal in furness,9,54.16971191,-3.14132584
lowther park,9,54.60426563,-2.714587092
newby,9,54.58500679,-2.632510352
pelter bridge,9,54.4449,-2.9792
rothay,9,54.4633,-3.0226
scandale fell,9,54.46800565,-2.94900279
seascale,9,54.39966451,-3.486641009
seathwaite tarn,9,54.37917406,-3.148515443
sedgwick,9,54.26667,-2.75
stainton,9,54.14190742,-3.152628286
ullock,9,54.59808097,-3.431935104
ullswater hotel,9,54.54543049,-2.948636082
vicarage fm,9,54.80173528,-2.78566613
windermere railway station,9,54.37939,-2.90326
yanwath hall,9,54.64632,-2.76441
yewdale beck,9,54.37724386,-3.054689994
abbot hall,8,54.17155322,-2.926883112
allonby,8,54.77384741,-3.425947698
arnside tower,8,54.18121297,-2.835153265
barf ,8,54.62750526,-3.21743785
birks,8,54.31776717,-2.530420622
biscot how,8,54.3659,-2.9142
black sail hut,8,54.50129201,-3.243213214
blelham tarn,8,54.39586539,-2.97814559
butterlip how,8,54.4623,-3.0259
buttermere (vale),8,54.53084556,-3.265555914
carrock fell,8,54.69216628,-3.01629207
chapel stile,8,54.44028369,-3.040888006
coddale,8,54.4697,-3.0878
crag of blea moor,8,54.23754398,-2.345254278
dalehead hall (hotel),8,54.54798717,-3.059089959
dalston,8,54.83794654,-2.984754201
distington,8,54.59650985,-3.538002896
dockray,8,54.58603144,-2.939185667
drigg,8,54.37812925,-3.435517762
dunnerdale,8,54.3532,-3.1786
eskdale,8,54.3879,-3.3244
fleetwith pike,8,54.51942155,-3.228312624
grisedale,8,54.4991,-3.0082
hallin fell,8,54.56744258,-2.87396669
halsteads,8,54.15617645,-2.482408319
hutton moor end,8,54.63850415,-2.983961255
hutton st john,8,54.6346,-2.8695
ill bell,8,54.45959977,-2.871667406
ings,8,54.37882631,-2.854557397
keppel cove,8,54.5394,-3.0125
lady holm,8,54.3693,-2.9278
langstreth,8,54.47817983,-3.138915994
latterbarrow beck,8,54.48653286,-3.423943348
leven's bridge,8,54.2602,-2.775
lingmell beck,8,54.47433441,-3.242395534
little salkeld,8,54.7195103,-2.671950789
low hesket,8,54.80966633,-2.830971014
lowick,8,54.26913154,-3.082642082
naddle fell,8,54.58213131,-3.073733976
nan bield pass,8,54.47779244,-2.84118431
nether wasdale,8,54.42,-3.35
plumpton foot,8,54.74771352,-2.800157335
ponsonby old hall,8,54.43598052,-3.457115297
rampsbeck hotel,8,54.60089054,-2.850701182
red screes,8,54.47125,-2.93376
river gilpin,8,54.30437481,-2.840445358
santon bridge,8,54.4017557,-3.36947453
scarness,8,54.66350511,-3.201644547
serjeant crag,8,54.49270057,-3.123880701
souther fell,8,54.6492,-3.0058
stake pass,8,54.46641015,-3.13413713
tarn crag,8,54.47595992,-3.072662796
tarn hows,8,54.389593,-3.033998
tongue beck,8,54.32761168,-3.270378827
"wallowbarrow crag, ulpha",8,54.35986295,-3.198735
arlecdon,7,54.56158343,-3.477058692
arnside knott,7,54.19020045,-2.835334426
birker moor,7,54.3663,-3.2743
blake fell,7,54.56285634,-3.36882825
bleaberry tarn,7,54.5279277,-3.274931494
blowick,7,54.5490066,-2.935420119
broughton mills,7,54.30406399,-3.191150711
copeland forest,7,54.45554551,-3.318962783
esthwaite,7,54.3559,-2.984
ferney green,7,54.36040071,-2.915738676
great corby,7,54.88240875,-2.818413258
high hesket,7,54.79394667,-2.814378231
high row end,7,54.6208,-3.0686
high skelgill,7,54.81256523,-2.412387382
hindscarth,7,54.53754927,-3.213398923
hornby castle,7,54.11144,-2.63237
kirk fell,7,54.62676949,-3.278021056
kirkby stephen,7,54.47123244,-2.347219012
ling holme,7,54.33424337,-2.946535057
lorton vale,7,54.61745319,-3.308706047
lowick hall,7,54.26000604,-3.0977568
muncaster castle,7,54.35601592,-3.377332671
pennines,7,54.3595,-3.1393
